group_entry_name,sku,stock,allocated,price_per_unit,cost_price,incoming,cover_14,cover_30,cover_90,sell_through,units_sold,units_sold_in_kits,total_units_sold,profit,profit_margin_percent,gross_sales
Portable Control Unit V2 with Adaptors to fit V1 Spas (UK Plug),KK-10809,0,0,328.8913333333333333,218.0,0,4.0,9.0,27.0,less than a minute,19,0.0,19.0,2089.98,25.0823076923076923,6231.98
PORTABLE DRAIN HOSE,KK-10682,93,3,2.0825,3.0,0,0,0,0,over 4 years,5,0.0,5.0,1.67,64.0,16.67
Portable Pool & Spa Chemical Kit,KA-10088,796,23,34.3054385964912281,18.06,0,0,0,0,over 1 year,96,31.0,127.0,1483.34,29.925531914893617,3217.1
PORTABLE SPA FILTERS - 4 PACK,KA-10090,3983,5,34.7063636363636364,10.0,0,0,0,0,over 9 years,78,0.0,78.0,1962.97,61.2482692307692308,2742.97
PORTABLE SPA INFLATION HOSE V1,KK-10108,80,1,2.2958823529411765,10.0,0,0,0,0,about 1 year,19,1.0,20.0,-150.97,22.9066666666666667,39.03
Portables Thermal Spa Blanket,KK-10112,-8,1,9.72,14.0,0,10.0,14.0,26.0,about 2 months,13,0.0,13.0,-65.36,22.9733333333333333,116.64
Proline 4in/3in Tapered Brown Spa Cover 1 Year Warranty,KC-10189,0,0,265.4785841836734694,166.66,0,11.0,25.0,75.0,less than a minute,47,0.0,47.0,3569.55,29.4097321428571429,12969.55
Proline 4in/3in Tapered Grey Spa Cover 1 Year Warranty,KC-10196,0,1,290.693234693877551,153.97,0,17.0,37.0,111.0,less than a minute,42,0.0,42.0,3912.5,32.4285714285714286,12262.77
Pump: 3hp 2in X 2in (LX) LP300 1-Speed,KK-10864,-1,0,0.0,100.0,0,1.0,2.0,4.0,about 2 months,1,0.0,1.0,-100.0,0.0,0.0
Pump: 3HP 2in x 2in (LX) WP300 2-Speed,KK-10317,131,10,195.3916666666666667,126.58,0,0,0,0,over 1 year,21,0.0,21.0,1109.57,34.089,3767.75
Pump: 4HP 2.6in x 2in (LX) WP300 2-Speed,KK-10318,139,13,224.8536666666666667,126.56,0,0,0,0,6 months,41,0.0,41.0,2389.98,0.7375,7578.94
Pump: 5HP 2.5in x 2.5in (LX) WP500 2-Speed,KK-10319,123,3,111.0188888888888889,134.69,0,0,0,0,over 1 year,12,0.0,12.0,-617.11,73.04,999.17
Pump: (Waterway) Executive Euro 1-Speed,KK-10320,10,0,386.81,120.29,0,0,0,0,over 2 years,1,0.0,1.0,266.52,68.9,386.81
Pump: (Waterway) Executive Euro 2-Speed,KK-10321,21,1,375.83,122.98,20,0,0,0,8 months,4,2.0,6.0,896.1,59.19,1503.32
QUEBEC 29 JET 3 PERSON SPA,KH-10022,1,1,3487.766,2400.0,0,0.0,2.0,8.0,13 days,5,0.0,5.0,5438.83,31.098,17438.83
RCD In-Line With EU Plug 7m Cable,KK-10733,8,0,35.1,30.0,0,0,0,0,6 months,3,0.0,3.0,15.3,42.63,105.3
Repair of Portable Control Unit,KL-10003,690,14,57.2970689655172414,25.0,0,0,0,0,9 months,221,7.0,228.0,7283.09,49.1,12808.09
RIO GRANDE V1 INFLATABLE SPA,KP-10028,10,10,332.5,0.0,0,0,0,0,10 months,2,0.0,2.0,215.0,32.33,665.0
Rio Grande V2 Foam Spa Coffee,KP-10010,1,1,681.5,400.0,0,9.0,21.0,65.0,1 day,5,0.0,5.0,1407.5,41.31,3407.5
Roller Cover lifter,KA-10029,103,1,41.33125,35.0,0,0,0,0,6 months,48,0.0,48.0,252.27,15.12375,1932.27
Round Hot Tub Cover Weather Guard / Spa Cap,KA-10022,74,0,41.377,15.0,0,0,0,0,almost 2 years,10,0.0,10.0,263.77,62.608,413.77
Round Spa Surround Furniture: 5 Piece Set,KF-10006,0,2,233.3333333333333333,600.0,0,1.0,4.0,12.0,less than a minute,4,31.0,35.0,-1350.0,-71.43,1050.0
SCF Filter Cover Locking Screws,KK-10153,31,12,4.2088888888888889,2.0,40,0,0,0,4 months,25,0.0,25.0,53.93,56.93,103.93
SCF Filter Screw Caps,KK-10154,139,4,2.462,1.0,0,0,0,0,almost 3 years,12,0.0,12.0,18.46,74.3333333333333333,30.46
SCF Filter top Cover,KK-10182,8,2,61.59,21.84,10,0,0,0,3 months,6,0.0,6.0,195.63,35.746,326.67
SIDE TABLE - ROUND SPA SURROUND FURNITURE,KF-10003,34,5,128.7975,99.99,0,0,0,0,about 1 year,5,0.0,5.0,161.43,17.0275,661.38
SILVER MAINTENANCE SERVICE - spa,KL-10015,994,3,216.67,1.0,0,0.0,0.0,0.0,-,7,0.0,7.0,1509.69,99.54,1516.69
Skimmer Basket Haliburton/Muskoka pre 2012,KK-10771,11,0,41.66,10.0,0,0,0,0,5 months,7,0.0,7.0,221.62,76.0,291.62
Skimmer Net with Telescopic Handle,KA-10114,49,0,16.67,5.0,0,0,0,0,about 12 years,1,0.0,1.0,11.67,70.0,16.67
Small Boston Inflation Check Valve,KK-10095,108,0,4.9455555555555556,2.0,0,0,0,0,almost 2 years,17,0.0,17.0,62.04,75.245,96.04
Small Directional Jet 2.25in - Hurricane,KK-10040,111,0,15.3433333333333333,3.62,0,0,0,0,almost 2 years,15,0.0,15.0,161.65,76.1466666666666667,215.95
Small Directional Jet (2in) - Hurricane,KK-10047,128,70,12.5644,2.71,50,0,0,44.0,2 months,190,14.0,204.0,2052.1,78.8843478260869565,2567.0
Small Directional Jet 2in - Stainless Steel,KK-10069,71,0,11.45,1.89,0,0,0,0,2 months,63,0.0,63.0,605.34,83.345,724.41
Small Massage Jet 2.25in - Hurricane,KK-10041,120,0,14.16,3.62,0,0,0,0,over 3 years,9,0.0,9.0,94.86,74.44,127.44
Small Massage Jet (2in) - Hurricane,KK-10049,183,23,13.8370588235294118,2.71,100,0,0,0,6 months,94,14.0,108.0,969.62,79.2911764705882353,1224.36
Small Massage Jet (2in) - Stainless Steel,KK-10070,148,0,10.93,2.39,0,0,0,0,12 months,35,0.0,35.0,298.54,77.975,382.19
Small Point Jet (2in) - Hurricane,KK-10046,200,57,12.2133333333333333,2.71,50,0,0,0,9 months,63,3.0,66.0,804.54,76.9866666666666667,975.27
Small Point Jet (2in) - Stainless Steel - 818s,KK-10067,57,0,11.1075,2.71,0,0,0,0,over 1 year,11,0.0,11.0,90.69,75.3175,120.5
SMALL PORTABLE SPA INLET / OUTLET JET CAP,KK-10163,34,4,1.8108571428571429,1.97,0,0,0,29.0,about 1 month,74,1.0,75.0,-15.79,53.2453333333333333,129.99
Small Threaded Circulation Jet (2in) - Hurricane,KK-10054,44,0,13.28,2.71,10,0,0,0,almost 11 years,1,0.0,1.0,10.57,79.59,13.28
Small Yukon Lounger Pillow - 2x Tone grey,KK-10679,11,0,12.915,14.0,0,0,0,0,11 months,3,0.0,3.0,9.65,45.79,51.65
Spa Ball,KA-10003,3937,5,17.39546875,10.0,0,0,0,0,3 months,4065,3.0,4068.0,-5527.81,40.4095238095238095,35122.19
Spa Bladder - Grand Rapids V1,KK-10002,64,1,194.4466666666666667,125.0,0,0,0,0,over 5 years,3,0.0,3.0,208.34,33.3333333333333333,583.34
Spa Bladder - Grand Rapids V2,KK-10761,62,2,0.0,200.0,0,0,0,0,over 1 year,12,0.0,12.0,-2400.0,0.0,0.0
Spa Body (Liner Set with Bladder) - Rio Grande V1,KK-10121,0,2,51.834,100.0,0,3.0,7.0,21.0,less than a minute,19,0.0,19.0,-1022.49,40.9825,877.51
Spa Clear  - Clarifier and Flocculant - ( 500ml ),KA-10053,1061,2,16.2609615384615385,10.0,0,0,0,0,over 1 year,200,4.0,204.0,1082.54,33.440990099009901,3082.54
Spa Delivery,KL-10007,83,2,335.82875,1.0,0,0,0,0,about 2 years,9,0.0,9.0,3094.29,99.775,3103.29
SPA HEALTH CHECK SERVICE,KL-10020,998,0,133.33,75.0,0,0.0,0.0,0.0,-,1,0.0,1.0,58.33,43.75,133.33
Spa Liner Set - Muskoka 2012/16,KK-10124,0,1,233.164,0.0,0,0.0,0.0,0.0,less than a minute,9,0.0,9.0,1165.82,100.0,1165.82
Spa Liner Set - Muskoka V2,KK-10765,16,3,0.0,50.0,0,0,0,0,4 months,10,0.0,10.0,-500.0,0.0,0.0
Spa Liner Set - Rio Grande V2,KK-10768,38,0,0.0,200.0,0,0,0,0,about 1 year,9,0.0,9.0,-1800.0,0.0,0.0
Spa Liner Set - Swift Current V2,KK-10762,70,3,10.9431578947368421,200.0,0,0,0,0,7 months,29,3.0,32.0,-4968.34,27.86,831.66
Spa Liner Set - Swift Currrent V1,KK-10122,29,1,245.5812903225806452,200.0,0,0,0,16.0,2 months,36,2.0,38.0,1107.45,30.4714285714285714,8307.45
Spa Shock - Shock Treatment For Your Hot Tub Water. ( 1KG ),KA-10047,940,1,16.5457575757575758,6.0,0,0,0,0,about 2 years,110,2.0,112.0,1153.98,64.7552380952380952,1813.98
Spa Steps 2-Tier PVC,KF-10011,133,21,84.9908695652173913,82.17,0,0,0,0,9 months,42,1.0,43.0,-3586.2,-3.9353846153846154,1378.13
SPECIAL ORDER HOT TUB COVER - 3x Radius 1x Square Corner (B),KC-10090,9999999,1,357.5,200.0,2,0.0,0.0,0.0,-,1,0.0,1.0,157.5,44.06,357.5
Special Order Hot Tub Cover - Radius Corners,KC-10093-1,9999999,0,329.9983333333333334,62.75,18,0.0,0.0,0.0,-,4,0.0,4.0,724.99,69.6233333333333334,1324.99
SPRING START-UP SERVICE - spa,KL-10008,999,0,133.33,1.0,0,0.0,0.0,0.0,-,1,0.0,1.0,132.33,99.25,133.33
Square Hot Tub Cover Weather Guard / Spa Cap,KA-10020,1862,4,48.7359332487712066,15.0,0,0,0,0,over 3 years,124,1.0,125.0,3930.5,69.4528718487394958,5790.5
STEP - ROUND SPA SURROUND FURNITURE,KF-10005,22,5,146.0358333333333333,120.0,0,0,0,0,5 months,13,0.0,13.0,327.43,20.0709090909090909,1887.43
STRAIGHT PLANTER - SQUARE SURROUND FURNITURE,KF-10027,0,1,190.0,76.73,0,0.0,1.0,3.0,less than a minute,1,0.0,1.0,113.27,19.23,190.0
Straight Steps - To Fit Straight Edge Spas - Part Of Square Surround Furniture,KF-10031,-1,4,128.5518328584995252,110.24,365,0,0,0,about 18 hours,44,0.0,44.0,40.37,-7.3690476190476191,4672.11
Suction Release Valve - Clear,KK-10006,17,0,7.332,2.72,0,0,0,0,9 months,5,0.0,5.0,23.06,85.16,36.66
Sunpower Stereo Transformer,KK-10549,4,0,25.0,50.0,0,0,0,0,12 months,1,0.0,1.0,-25.0,-100.0,25.0
SWIFT CURRENT PORTABLE SPA DRAIN PLUG / BUNG / STOPPER,KK-10098,8,0,3.8492307692307692,2.5,0,0,1.0,19.0,24 days,30,4.0,34.0,41.72,40.0041666666666667,116.72
Swift Current / Rio Grande Top Cap for Foam Panel - V2,KK-10792,15,0,0.0,15.0,0,0,0,9.0,about 2 months,25,0.0,25.0,-375.0,0.0,0.0
Swift Current V2 eBay Package,KP-10033,0,0,1525.2356521739130435,1295.06,0,4.0,9.0,27.0,less than a minute,27,0.0,27.0,5932.55,13.7773913043478261,40899.17
Swift Current V2 Foam Spa Charcoal,KP-10007,0,1,789.0,500.0,0,4.0,10.0,30.0,less than a minute,5,0.0,5.0,1408.0,36.2425,3908.0
Swift Current V2 Foam Spa Coffee,KP-10008,-10,5,873.9788235294117647,500.0,0,31.0,56.0,148.0,7 days,31,62.0,93.0,11570.46,41.8152941176470588,27070.46
Swift Current V2 Package - With 2x Planters + 1x Step,KP-10030,0,0,1015.958,749.98,0,4.0,9.0,27.0,less than a minute,26,0.0,26.0,5221.7,20.6675,25921.66
Telescopic Weir and Filter Basket - Charcoal,KK-10657,40,0,44.28,24.0,0,0,0,0,almost 10 years,1,0.0,1.0,20.28,45.79,44.28
Telescopic Weir and Filter Basket - Grey,KK-10253,22,0,49.99,20.0,0,0,0,0,over 5 years,1,0.0,1.0,29.99,59.99,49.99
Test Strips x 50,KA-10052,21448,2564,8.4910344827586207,3.0,0,0,0,0,almost 2 years,2800,3.0,2803.0,-6196.4,66.1048717948717949,2203.6
THUNDER BAY 44 JET 5-6 PERSON SPA,KH-10030,6,7,4550.0,4500.0,0,0,1.0,15.0,21 days,2,0.0,2.0,100.0,1.085,9100.0
Thunder Bay Lounger pillow - Grey,KK-10675,9,0,33.33,14.0,0,0,0,0,about 1 year,2,0.0,2.0,38.65,57.99,66.65
Tools 250ml Wet & Dry Pipe Glue - small,KK-10703,7,0,15.0,6.71,0,0,0,0,11 months,2,0.0,2.0,16.58,54.7,30.0
TOP MOUNT COVER LIFTER,KA-10027,72,26,56.33125,2.2,0,0,0,36.0,about 2 months,98,1.0,99.0,4616.44,99.0397727272727273,4697.76
TORONTO 44 JET 5-6 PERSON SPA,KH-10023,61,37,3950.72,3411.39,56,0,0,87.0,23 days,46,0.0,46.0,20501.53,11.9323333333333333,177425.47
TWO HEADRESTS/DUAL CUP HOLDERS FOR INFLATABLE PORTABLE SPAS,KA-10018,3,0,69.0833333333333333,45.0,0,0.0,4.0,18.0,about 1 month,3,1.0,4.0,72.25,15.06,207.25
TWO HEADRESTS & DUAL CUP HOLDERS FOR SWIFT CURRENT PORTABLE SPA,KA-10059,8,0,87.495,40.0,0,0,0,0,12 months,2,0.0,2.0,94.99,44.0,174.99
UNIVERSAL BLACK SPA STEPS (Fits both round and square spas),KF-10020,11,13,45.2575,50.0,0,0,2.0,28.0,19 days,46,31.0,77.0,-199.16,21.7778260869565217,2100.84
Universal Cover Lifter,KA-10030,42,5,73.3090909090909091,100.0,0,0,0,0,8 months,13,1.0,14.0,-411.1,-24.291,888.9
V1 Adaptor,KK-10752,128,12,0.484,3.0,0,0,0,0,8 months,46,228.0,274.0,-99.29,69.0,38.71
V1 PCU Connector Pipe (clear) for Swift Current / Rio Grande,KK-10101,-3,0,6.665,8.0,0,3.0,4.0,6.0,3 months,3,12.0,15.0,-5.67,-28.0,18.33
V1 PCU Connector Pipe (ribbed) for Grand Rapids,KK-10106,59,0,19.272,4.0,0,0,0,0,about 1 year,12,40.0,52.0,155.81,83.14,203.81
V1 PCU Set of 3x Connector Pipes for Swift Current / Rio Grande,KK-10105,0,0,33.328,20.0,0,1.0,4.0,12.0,less than a minute,5,0.0,5.0,84.64,59.19,166.64
V1 PCU Set of 3x Connector Pipes (ribbed) for Grand Rapids,KK-10107,0,0,36.1290909090909091,12.0,0,1.0,4.0,12.0,less than a minute,11,0.0,11.0,251.42,68.8177777777777778,397.42
V2 PCU Air Connector - Medium 52mm*250mm,KK-10785,112,4,0.69588235294117647059,5.0,0,0,0,2.0,2 months,117,74.0,191.0,-525.85,57.745,59.15
V2 PCU Connection Pipe O-Ring,KK-10823,154,0,0.59571428571428571429,1.0,0,0,0,0,about 1 year,32,0.0,32.0,-23.67,76.0,8.33
V2 PCU Connector - Short 52mm*150mm for air,KK-10755,118,5,0.2975,5.0,0,0,0,0,10 months,35,1.0,36.0,-158.33,40.0,16.67
V2 PCU Filter Lid O-Ring,KK-10827,43,0,4.17,1.0,0,0,0,0,over 3 years,3,0.0,3.0,9.5,76.0,12.5
V2 PCU Hose Connector Long - for Water - 52mm*300mm,KK-10754,129,4,0.0,5.0,0,0,0,0,over 1 year,19,0.0,19.0,-95.0,0.0,0.0
V2 PCU Transformer,KK-10777,25,0,25.0,30.0,0,0,0,0,about 6 years,1,0.0,1.0,-5.0,-20.0,25.0
V2 Pipe Connector Set With Aromatherapy,KK-10872,0,0,0.0,35.0,0,0.0,0.0,0.0,less than a minute,1,0.0,1.0,-35.0,0.0,0.0
V2 Pipe Connector Set without Aromatherapy,KK-10871,0,0,0.0,15.0,0,0.0,1.0,3.0,less than a minute,1,0.0,1.0,-15.0,0.0,0.0
Vancouver 65 JET 6 PERSON SPA,KH-10032,2,3,5093.332,325.02,26,0,0,0,13 days,5,0.0,5.0,18474.97,71.372,25466.66
Vertical Strip (Spa Cabinet) - Coffee,KK-10238,28,0,0.0,7.0,0,0,0,0,about 1 year,6,0.0,6.0,-42.0,0.0,0.0
VICTORIA 58 JET 6-7 PERSON SPA,KH-10025,2,0,4995.83,4000.0,0,0,0,1.0,6 months,1,0.0,1.0,995.83,19.93,4995.83
Waterfall 8in LED - Clear,KK-10155,16,0,0.0,7.24,0,0,0,0,almost 4 years,1,0.0,1.0,-7.24,0.0,0.0
Waterfall Control Valve - Swim Spa,KK-10305,20,0,20.83,4.55,0,0,0,0,almost 5 years,1,0.0,1.0,16.28,78.16,20.83
Water Filled Spa Booster Seat / Cushion,KA-10019,519,9,11.8475,3.0,0,0,0,0,about 1 year,94,217.0,311.0,647.33,70.9821875,929.33
Water Filled Spa Booster Seat / Cushion TWIN PACK (2),KA-10105,0,0,18.7779545454545455,6.0,0,10.0,23.0,69.0,less than a minute,76,0.0,76.0,914.59,68.1409756097560976,1370.59
WATER-PROOF PLAYING CARDS,KA-10035,3993,0,4.165,1.0,0,0,0,0,about 246 years,4,0.0,4.0,12.66,87.99,16.66
Wet End: 2.5in x 2.5in (LX) 5HP,KK-10739,23,2,76.5316666666666667,55.0,0,0,0,7.0,5 months,8,0.0,8.0,81.69,35.6275,521.69
Wet End: 2.6in x 2in (LX) 4HP,KK-10409,116,2,40.6417647058823529,50.0,0,0,0,0,7 months,33,0.0,33.0,-729.09,-133.07375,920.91
Wet End: 2in x 2in (LX) 3HP,KK-10408,90,0,50.0,45.0,0,0,0,0,almost 2 years,3,0.0,3.0,-35.0,55.0,100.0
Wet End: 2in x 2in (Waterway) 48F,KK-10404,9,0,0.0,31.28,0,0,0,0,about 2 years,1,0.0,1.0,-31.28,0.0,0.0
Wet End: 2in x 2in (Waterway) 56F,KK-10405,21,0,100.0,29.94,10,0,0,0,over 1 year,1,2.0,3.0,68.73,68.73,100.0
Whirlpool Rinse ( Spa Flushing Agent ),KA-10074,360,0,9.9517857142857143,6.0,0,0,0,0,about 2 years,38,0.0,38.0,116.14,44.3652,344.14
WINNIPEG 2010 (NO SPEAKERS) FULL PILLOW SET,KK-10726,0,0,149.995,31.47,0,0.0,1.0,3.0,less than a minute,2,0.0,2.0,268.52,88.2,299.99
WINNIPEG 2010 (WITH SPEAKERS) FULL PILLOW SET,KK-10727,0,0,166.66,0.0,0,0.0,0.0,0.0,less than a minute,1,0.0,1.0,166.66,100.0,166.66
WINNIPEG 35 JET 5-6 PERSON SPA,KH-10031,2,0,2655.2075,0.0,7,0,0,6.0,14 days,4,0.0,4.0,720.83,35.8933333333333333,10620.83
